Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,gamename,metaNote,metaNbVote,userNote,userNbVote,serie,samename,metaNoteQ,serieB
5018,Overlord: Dark Legend,Wii,2009.0,Action,Codemasters,0.12,0.22,0.0,0.04,0.38,Overlord: Dark Legend,68.0,30.0,7.7,19.0,Overlord,1,3,1
5021,Bratz: Rock Angelz,PS2,2005.0,Misc,THQ,0.19,0.15,0.0,0.05,0.38,Bratz: Rock Angelz,60.0,7.0,6.3,11.0,,1,3,0
5022,FlatOut,PS2,2004.0,Racing,Empire Interactive,0.19,0.15,0.0,0.05,0.38,FlatOut,72.0,21.0,7.6,189.0,FlatOut,1,3,1
5023,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013.0,Adventure,Capcom,0.0,0.0,0.38,0.0,0.38,Phoenix Wright: Ace Attorney - Dual Destinies,81.0,63.0,8.1,245.0,Ace Attorney,1,4,1
5024,SSX 3,GC,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.38,SSX 3,93.0,41.0,8.8,181.0,SSX,1,4,1
5025,NCAA Football 11,PS2,2010.0,Sports,Electronic Arts,0.19,0.15,0.0,0.05,0.38,NCAA Football 11,85.0,22.0,7.5,27.0,NCAA Football,1,4,1
5026,Tales of Zestiria,PS4,2015.0,Role-Playing,Namco Bandai Games,0.16,0.15,0.02,0.06,0.38,Tales of Zestiria,72.0,59.0,7.2,393.0,Tales,1,3,1
5028,Metal Gear Solid: Snake Eater 3D,3DS,2012.0,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38,Metal Gear Solid: Snake Eater 3D,78.0,46.0,7.9,200.0,,1,4,0
5030,Elite Beat Agents,DS,2006.0,Misc,Nintendo,0.31,0.03,0.0,0.03,0.38,Elite Beat Agents,87.0,51.0,8.5,128.0,,1,4,0
5031,NBA 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.3,0.04,0.0,0.04,0.38,NBA 2K7,84.0,46.0,7.8,68.0,NBA 2K,1,4,1
5033,Grandia Xtreme,PS2,2002.0,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38,Grandia Xtreme,68.0,16.0,7.6,19.0,Grandia,1,3,1
5034,Silent Scope,PS2,2000.0,Shooter,Konami Digital Entertainment,0.19,0.15,0.0,0.05,0.38,Silent Scope,63.0,10.0,,,Silent Scope,1,3,1
5036,Virtua Tennis 2009,Wii,2009.0,Sports,Sega,0.13,0.21,0.0,0.04,0.38,Virtua Tennis 2009,70.0,34.0,6.6,24.0,Virtua Tennis,1,3,1
5038,The Incredible Hulk,PS2,2008.0,Action,Sega,0.32,0.01,0.0,0.05,0.38,The Incredible Hulk,55.0,26.0,7.0,28.0,,1,3,0
5039,Mercenaries 2: World in Flames,PS2,2008.0,Shooter,Electronic Arts,0.21,0.0,0.0,0.17,0.38,Mercenaries 2: World in Flames,72.0,43.0,7.2,82.0,Mercenaries,1,3,1
5040,Cabela's Big Game Hunter 2012,Wii,2011.0,Sports,Activision,0.34,0.02,0.0,0.02,0.38,Cabela's Big Game Hunter 2012,1.0,3.0,,,Cabela's Big Game Hunter,1,1,1
5041,EA Sports MMA,PS3,2010.0,Fighting,Electronic Arts,0.16,0.15,0.01,0.06,0.38,EA Sports MMA,77.0,47.0,6.9,47.0,,1,4,0
5042,Iron Man 2,PSP,2010.0,Action,Sega,0.18,0.12,0.0,0.07,0.38,Iron Man 2,41.0,28.0,5.3,42.0,,1,2,0
5043,DiRT 2,Wii,2009.0,Racing,Codemasters,0.11,0.23,0.0,0.04,0.38,DiRT 2,89.0,22.0,8.2,423.0,Colin McRae Rally and Dirt,1,4,1
5045,MediEvil II,PS,1999.0,Action,Sony Computer Entertainment,0.21,0.14,0.0,0.02,0.38,MediEvil,67.0,72.0,8.1,606.0,MediEvil,1,3,1
5046,Guitar Hero On Tour: Modern Hits,DS,2009.0,Misc,Activision,0.13,0.2,0.0,0.04,0.38,Guitar Hero On Tour: Modern Hits,70.0,30.0,,,Guitar Hero: On Tour,1,3,1
5047,Hunter: The Reckoning,XB,2002.0,Action,Interplay,0.28,0.08,0.0,0.01,0.38,Hunter: The Reckoning,79.0,28.0,8.0,22.0,,1,4,0
5048,MX vs. ATV Untamed,PS2,2007.0,Racing,THQ,0.32,0.01,0.0,0.05,0.38,MX vs. ATV Untamed,70.0,43.0,6.9,19.0,MX vs. ATV,1,3,1
5051,Tiger Woods PGA Tour 08,PSP,2007.0,Sports,Electronic Arts,0.14,0.15,0.0,0.09,0.38,Tiger Woods PGA Tour 08,80.0,45.0,7.8,26.0,PGA Tour,1,4,1
5052,Pokemon Channel,GC,2003.0,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38,Pokemon Channel,55.0,21.0,6.4,31.0,Pokémon,1,3,1
5054,Etrian Odyssey IV: Legends of the Titans,3DS,2012.0,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38,Etrian Odyssey IV: Legends of the Titan,84.0,41.0,8.3,177.0,Etrian Odyssey,1,4,1
5058,FIFA 17,PS3,2016.0,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.38,FIFA 17,85.0,42.0,,,FIFA,1,4,1
5059,Saints Row: The Third,PC,2011.0,Action,THQ,0.16,0.16,0.0,0.06,0.38,Saints Row: The Third,84.0,22.0,8.1,1581.0,Saints Row,1,4,1
5060,Just Dance 2015,PS4,2014.0,Misc,Ubisoft,0.19,0.13,0.0,0.06,0.38,Just Dance 2015,72.0,8.0,5.9,34.0,Just Dance,1,3,1
5061,Madagascar: Escape 2 Africa,PS2,2008.0,Action,Activision,0.12,0.0,0.0,0.26,0.38,Madagascar: Escape 2 Africa,58.0,13.0,,,,1,3,0
5062,ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010.0,Simulation,Activision,0.32,0.03,0.0,0.03,0.38,ZhuZhu Pets: Featuring The Wild Bunch,0.0,4.0,,,,1,0,0
5064,Petz Rescue: Wildlife Vet,DS,2008.0,Simulation,Ubisoft,0.35,0.0,0.0,0.03,0.38,Petz Rescue: Wildlife Vet,3.0,1.0,,,,1,1,0
5065,Green Day: Rock Band,Wii,2010.0,Misc,MTV Games,0.22,0.12,0.0,0.03,0.38,Green Day: Rock Band,76.0,41.0,6.2,25.0,Rock Band,1,4,1
5067,Monster Jam: Path of Destruction,DS,2010.0,Racing,Activision,0.35,0.0,0.0,0.02,0.38,Monster Jam: Path of Destruction,2.0,2.0,,,,1,1,0
5068,Toukiden: The Age of Demons,PSV,2013.0,Action,Tecmo Koei,0.05,0.05,0.25,0.03,0.38,Toukiden: The Age of Demons,71.0,44.0,8.0,137.0,Toukiden,1,3,1
5070,Dance Dance Revolution Ultramix 3,XB,2005.0,Simulation,Konami Digital Entertainment,0.28,0.08,0.0,0.01,0.38,Dance Dance Revolution Ultramix 3,75.0,16.0,,,Dance Dance Revolution,1,4,1
5072,WWE SmackDown vs. Raw 2011,PS2,2010.0,Fighting,THQ,0.24,0.07,0.0,0.07,0.38,WWE SmackDown vs. Raw 2011,75.0,49.0,7.7,60.0,WWE SmackDown! vs. Raw,1,4,1
5073,Need for Speed: Hot Pursuit,PC,2010.0,Racing,Electronic Arts,0.12,0.2,0.0,0.06,0.38,Need for Speed: Hot Pursuit Remastered,75.0,36.0,4.5,74.0,Need for Speed,1,4,1
5074,The Legend of Spyro: A New Beginning,DS,2006.0,Platform,Vivendi Games,0.34,0.01,0.0,0.03,0.38,The Legend of Spyro: A New Beginning,64.0,22.0,7.0,78.0,The Legend of Spyro,1,3,1
5075,Pro Evolution Soccer 2011 3D,3DS,2011.0,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38,Pro Evolution Soccer 2011 3D,73.0,43.0,6.9,23.0,eFootball,1,3,1
5076,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011.0,Role-Playing,Ghostlight,0.28,0.01,0.06,0.02,0.38,Shin Megami Tensei: Devil Survivor Overclocked,78.0,27.0,4.8,273.0,Megami Tensei,1,4,1
5077,Dragon Ball Z: Attack of the Saiyans,DS,2009.0,Role-Playing,Namco Bandai Games,0.13,0.02,0.21,0.01,0.38,Dragon Ball Z: Attack of the Saiyans,73.0,21.0,8.2,39.0,,1,3,0
5078,Marvel Super Hero Squad,Wii,2009.0,Fighting,THQ,0.31,0.03,0.0,0.03,0.38,Marvel Super Hero Squad: The Infinity Gauntlet,55.0,10.0,,,,1,3,0
5079,The House of the Dead: Overkill - Extended Cut,PS3,2011.0,Shooter,Sega,0.15,0.17,0.0,0.06,0.38,The House of the Dead: Overkill - Extended Cut,75.0,48.0,7.4,36.0,The House of the Dead,1,4,1
5080,The Golden Compass,PSP,,Action,Sega,0.11,0.16,0.0,0.1,0.38,The Golden Compass,46.0,10.0,,,,1,2,0
5081,Harry Potter and the Prisoner of Azkaban,GC,2004.0,Action,Electronic Arts,0.29,0.08,0.0,0.01,0.38,Harry Potter and the Prisoner of Azkaban,67.0,19.0,7.6,110.0,,1,3,0
5082,Quake 4,X360,2005.0,Shooter,Activision,0.32,0.03,0.0,0.03,0.38,Quake 4,75.0,52.0,6.9,99.0,Quake,1,4,1
5083,Petz Rescue: Ocean Patrol,DS,2008.0,Adventure,Ubisoft,0.35,0.0,0.0,0.03,0.37,Petz Rescue: Ocean Patrol,1.0,3.0,,,,1,1,0
5084,Solaris,2600,1986.0,Shooter,Atari,0.35,0.02,0.0,0.0,0.37,Solaris,0.0,4.0,,,,1,0,0
5085,Puppy Palace,DS,2008.0,Simulation,Ubisoft,0.35,0.0,0.0,0.03,0.37,Puppy Palace,1.0,3.0,,,,1,1,0
5086,Super Dragon Ball Z,PS2,2006.0,Fighting,Atari,0.09,0.07,0.19,0.02,0.37,Super Dragon Ball Z,72.0,31.0,6.6,33.0,,1,3,0
5087,Paws & Claws: Pampered Pets,DS,2009.0,Simulation,THQ,0.35,0.0,0.0,0.03,0.37,Paws & Claws: Pampered Pets 2,0.0,4.0,,,,1,0,0
5089,Alien: Isolation,PS3,2014.0,Shooter,Sega,0.12,0.19,0.0,0.07,0.37,Alien: Isolation,81.0,41.0,8.5,2097.0,,1,4,0
5090,Naruto Shippuden: Ninja Destiny 2,DS,2008.0,Fighting,Takara Tomy,0.19,0.03,0.13,0.02,0.37,Naruto Shippuden: Ninja Destiny 2,55.0,12.0,5.0,11.0,,1,3,0
5092,The Legend of Spyro: The Eternal Night,DS,2007.0,Platform,Vivendi Games,0.32,0.03,0.0,0.03,0.37,The Legend of Spyro: The Eternal Night,60.0,8.0,6.3,28.0,The Legend of Spyro,1,3,1
5094,Digging for Dinosaurs,DS,2010.0,Action,Scholastic Inc.,0.35,0.0,0.0,0.02,0.37,Digging for Dinosaurs,0.0,4.0,,,,1,0,0
5095,Trivial Pursuit,X360,2009.0,Misc,Electronic Arts,0.12,0.21,0.0,0.04,0.37,Trivial Pursuit,66.0,19.0,,,,1,3,0
5096,Tiger Woods PGA Tour 09,PS2,2008.0,Sports,Electronic Arts,0.16,0.0,0.0,0.21,0.37,Tiger Woods PGA Tour 09,0.0,4.0,,,PGA Tour,1,0,1
5097,Ultimate Spider-Man,GC,2005.0,Action,Activision,0.29,0.07,0.0,0.01,0.37,Ultimate Spider-Man,75.0,26.0,8.0,120.0,,1,4,0
5098,Life is Strange,PS4,2016.0,Adventure,Square Enix,0.14,0.15,0.03,0.06,0.37,Life is Strange,85.0,23.0,8.6,1924.0,,1,4,0
5099,Kingdom Under Fire: Circle of Doom,X360,2007.0,Role-Playing,Microsoft Game Studios,0.18,0.12,0.04,0.04,0.37,Kingdom Under Fire: Circle of Doom,55.0,44.0,5.7,55.0,Kingdom Under Fire,1,3,1
5100,NBA Inside Drive 2002,XB,2002.0,Sports,Microsoft Game Studios,0.28,0.08,0.0,0.01,0.37,NBA Inside Drive 2002,76.0,26.0,,,NBA Inside Drive,1,4,1
5102,Major League Baseball 2K6,X360,2006.0,Sports,Spike,0.34,0.0,0.0,0.03,0.37,Major League Baseball 2K6,66.0,22.0,4.1,38.0,2K Sports Major League Baseball,1,3,1
5104,Petz: Catz 2,PS2,2006.0,Simulation,Ubisoft,0.18,0.14,0.0,0.05,0.37,Petz: Catz 2,1.0,3.0,,,,1,1,0
5105,Mini Ninjas,Wii,2009.0,Action,Eidos Interactive,0.17,0.17,0.0,0.04,0.37,Mini Ninjas,74.0,14.0,8.0,106.0,,1,3,0
5106,Tom Clancy's The Division,PC,2016.0,Shooter,Ubisoft,0.2,0.14,0.0,0.03,0.37,Tom Clancy's The Division 2,82.0,56.0,6.2,1519.0,,1,4,0
5107,Phantasy Star Portable 2: Infinity,PSP,2011.0,Role-Playing,Sega,0.0,0.0,0.37,0.0,0.37,Phantasy Star Portable 2,69.0,27.0,8.1,37.0,Phantasy Star,1,3,1
5108,Hell's Kitchen: The Game,DS,2008.0,Simulation,Ubisoft,0.34,0.01,0.0,0.03,0.37,Hell's Kitchen,57.0,6.0,7.9,20.0,,1,3,0
5109,LEGO Dimensions,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.21,0.13,0.0,0.03,0.37,LEGO Dimensions,80.0,53.0,7.2,84.0,,1,4,0
5110,"Monsters, Inc. Scream Arena",GC,2002.0,Platform,THQ,0.29,0.07,0.0,0.01,0.37,"Monsters, Inc. Scream Arena",39.0,7.0,5.9,21.0,"Monsters, Inc.",1,2,1
5111,Reel Fishing III,PS2,2003.0,Sports,Natsume,0.18,0.14,0.0,0.05,0.37,Reel Fishing III,3.0,1.0,8.2,19.0,Reel Fishing,1,1,1
5112,Cabela's Deer Hunt 2005 Season,PS2,2004.0,Sports,Activision,0.18,0.14,0.0,0.05,0.37,Cabela's Deer Hunt 2005 Season,59.0,5.0,,,,1,3,0
5113,Prince of Persia: The Forgotten Sands,PSP,2010.0,Action,Ubisoft,0.09,0.18,0.01,0.1,0.37,Prince of Persia: The Forgotten Sands,75.0,49.0,7.4,159.0,Prince of Persia,1,4,1
5114,Rampage: Total Destruction,PS2,2006.0,Action,Midway Games,0.18,0.14,0.0,0.05,0.37,Rampage: Total Destruction,51.0,34.0,7.3,16.0,Rampage,1,3,1
5115,High Heat Major League Baseball 2003,PS2,2002.0,Sports,3DO,0.18,0.14,0.0,0.05,0.37,High Heat Major League Baseball 2003,84.0,23.0,,,High Heat Major League Baseball,1,4,1
5116,Madden NFL 11,PSP,2010.0,Sports,Electronic Arts,0.35,0.0,0.0,0.03,0.37,Madden NFL 11,83.0,36.0,6.1,69.0,Madden NFL,1,4,1
5118,Panzer Dragoon,SAT,1995.0,Shooter,Sega,0.0,0.0,0.37,0.0,0.37,Panzer Dragoon,63.0,24.0,7.4,97.0,,1,3,0
5119,Tiger Woods PGA Tour 12: The Masters,Wii,2011.0,Sports,Electronic Arts,0.21,0.13,0.0,0.03,0.37,Tiger Woods PGA Tour 12: The Masters,80.0,41.0,7.2,19.0,PGA Tour,1,4,1
5121,Spider-Man: Friend or Foe,PS2,2007.0,Action,Activision,0.31,0.01,0.0,0.05,0.37,Spider-Man: Friend or Foe,62.0,15.0,8.0,40.0,,1,3,0
5123,Dungeon Siege III,X360,2011.0,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,0.37,Dungeon Siege III,72.0,37.0,4.7,430.0,Dungeon Siege series,1,3,1
5124,Juiced 2: Hot Import Nights,PSP,2007.0,Racing,THQ,0.06,0.2,0.0,0.11,0.37,Juiced 2: Hot Import Nights,68.0,24.0,7.4,26.0,Juiced,1,3,1
5125,Rec Room Games,Wii,2009.0,Sports,Destineer,0.35,0.0,0.0,0.02,0.37,Rec Room,0.0,4.0,7.1,32.0,,1,0,0
5127,Turok: Rage Wars,N64,1999.0,Shooter,Acclaim Entertainment,0.3,0.06,0.0,0.0,0.37,Rage Wars,0.0,4.0,,,Turok,1,0,1
5128,Scooby-Doo! Classic Creep Capers,N64,2000.0,Action,THQ,0.3,0.06,0.0,0.0,0.37,Scooby-Doo! Classic Creep Capers,53.0,5.0,6.6,10.0,,1,3,0
5130,Custom Robo,GC,2004.0,Role-Playing,Nintendo,0.29,0.07,0.0,0.01,0.37,Custom Robo,65.0,31.0,8.1,35.0,,1,3,0
5131,FIFA Soccer 13,PSP,2012.0,Action,Electronic Arts,0.05,0.19,0.02,0.1,0.37,FIFA Soccer 13,88.0,37.0,6.6,390.0,FIFA,1,4,1
5132,Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009.0,Strategy,Electronic Arts,0.14,0.17,0.0,0.06,0.37,Command & Conquer: Red Alert 3,75.0,23.0,7.5,25.0,Command & Conquer: Red Alert,1,4,1
5133,Harry Potter and the Order of the Phoenix,PSP,2007.0,Action,Electronic Arts,0.1,0.17,0.0,0.1,0.37,Harry Potter and the Order of the Phoenix,63.0,11.0,5.5,89.0,,1,3,0
5134,Medieval II: Total War Gold Edition,PC,2008.0,Strategy,Sega,0.0,0.33,0.0,0.03,0.37,Medieval II: Total War,88.0,39.0,9.0,885.0,,1,4,0
5135,Pac-Man World 2,GC,2002.0,Action,Nintendo,0.28,0.07,0.0,0.01,0.37,Pac-Man World 2,74.0,18.0,8.4,39.0,Pac-Man,1,3,1
5138,Bionic Commando,PS3,2009.0,Platform,Capcom,0.12,0.17,0.01,0.07,0.37,Bionic Commando,71.0,48.0,7.0,75.0,,1,3,0
5139,Wanted: Weapons of Fate,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0.0,0.04,0.37,Wanted: Weapons of Fate,62.0,24.0,7.1,66.0,,1,3,0
5141,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37,Dishonored,91.0,29.0,8.5,4646.0,,1,4,0
5143,NFL Street 2 Unleashed,PSP,2005.0,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37,NFL Street 2 Unleashed,73.0,23.0,7.3,15.0,NFL Street,1,3,1
5145,FIFA Street 2,PS2,2006.0,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37,FIFA Street 2,59.0,27.0,7.9,65.0,FIFA Street,1,3,1
5146,Bottom of the 9th,N64,1999.0,Sports,Konami Digital Entertainment,0.37,0.0,0.0,0.0,0.37,Bottom of the 9th,0.0,4.0,,,,1,0,0
5147,Theatrhythm Final Fantasy: Curtain Call,3DS,2014.0,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37,Theatrhythm Final Fantasy: Curtain Call,83.0,52.0,8.2,224.0,,1,4,0
5148,Trauma Center: Under the Knife,DS,2005.0,Simulation,Nintendo,0.3,0.01,0.02,0.03,0.37,Trauma Center: Under the Knife 2,79.0,29.0,8.4,14.0,Trauma Center,1,4,1
5150,Xenosaga Episode III: Also sprach Zarathustra,PS2,2006.0,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.02,0.37,Xenosaga Episode III: Also sprach Zarathustra,81.0,34.0,8.8,96.0,Xenosaga,1,4,1
5151,Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008.0,Simulation,Game Factory,0.34,0.0,0.0,0.03,0.37,Build-A-Bear Workshop: A Friend Fur All Seasons,1.0,3.0,,,,1,1,0
5152,Sid Meier's Civilization: Beyond Earth,PC,2014.0,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.37,Sid Meier's Civilization: Beyond Earth,81.0,78.0,5.5,1070.0,Civilization,1,4,1
5153,Need for Speed: The Run,PC,2011.0,Action,Electronic Arts,0.09,0.21,0.0,0.07,0.37,Need for Speed: The Run,69.0,18.0,6.2,478.0,Need for Speed,1,3,1
5155,Transformers: Dark of the Moon,PS3,2011.0,Action,Activision,0.11,0.19,0.0,0.07,0.37,Transformers: Dark of the Moon,57.0,41.0,5.6,31.0,,1,3,0
5158,LEGO Batman 2: DC Super Heroes,PSV,2012.0,Action,Warner Bros. Interactive Entertainment,0.17,0.13,0.0,0.06,0.37,LEGO Batman 2: DC Super Heroes,81.0,6.0,7.6,107.0,,1,4,0
5159,Rock Band 4,PS4,2015.0,Misc,Harmonix Music Systems,0.25,0.05,0.0,0.07,0.37,Rock Band 4,78.0,51.0,6.4,107.0,Rock Band,1,4,1
5160,Left 4 Dead 2,PC,2009.0,Shooter,Valve Software,0.0,0.32,0.0,0.04,0.37,Left 4 Dead 2,89.0,55.0,,,,1,4,0
5161,The Sims 2: Castaway,PS2,2007.0,Simulation,Electronic Arts,0.3,0.01,0.0,0.05,0.37,The Sims 2: Castaway,71.0,17.0,8.1,24.0,The Sims,1,3,1
5162,NCAA Football 07,PSP,2006.0,Sports,Electronic Arts,0.34,0.0,0.0,0.03,0.37,NCAA Football 07,87.0,18.0,8.7,25.0,NCAA Football,1,4,1
5163,The Chronicles of Narnia: Prince Caspian,Wii,2008.0,Action,Disney Interactive Studios,0.31,0.02,0.0,0.03,0.36,The Chronicles of Narnia: Prince Caspian,56.0,16.0,5.9,12.0,,1,3,0
5164,NBA Live 2003,XB,,Sports,Electronic Arts,0.31,0.04,0.0,0.01,0.36,NBA Live 2003,83.0,22.0,8.4,27.0,NBA Live,1,4,1
5166,My Horse & Me,DS,2007.0,Sports,Atari,0.33,0.0,0.0,0.03,0.36,My Horse & Me,2.0,2.0,,,,1,1,0
5167,GoldenEye: Rogue Agent,GC,2004.0,Shooter,Electronic Arts,0.28,0.07,0.0,0.01,0.36,GoldenEye: Rogue Agent,60.0,38.0,6.8,39.0,James Bond,1,3,1
5169,Dragon Ball Z: Infinite World,PS2,2008.0,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,0.36,Dragon Ball Z: Infinite World,48.0,17.0,8.0,67.0,Dragon Ball Z: Budokai,1,2,1
5171,Tom Clancy's HAWX 2,X360,2010.0,Action,Ubisoft,0.24,0.09,0.01,0.03,0.36,Tom Clancy's HAWX 2,70.0,30.0,6.5,22.0,,1,3,0
5172,ESPN X Games Skateboarding,PS2,2001.0,Sports,Konami Digital Entertainment,0.18,0.14,0.0,0.05,0.36,ESPN X Games Skateboarding,58.0,15.0,7.7,12.0,,1,3,0
5173,Bejeweled 3,DS,,Puzzle,Unknown,0.32,0.02,0.0,0.03,0.36,Bejeweled 3,82.0,27.0,7.8,111.0,Bejeweled,1,4,1
5178,High Heat Major League Baseball 2004,PS2,2003.0,Sports,3DO,0.18,0.14,0.0,0.05,0.36,High Heat Major League Baseball 2004,83.0,14.0,,,High Heat Major League Baseball,1,4,1
5179,Robots,PS2,2005.0,Action,Vivendi Games,0.18,0.14,0.0,0.05,0.36,Robots,53.0,6.0,5.9,14.0,,1,3,0
5180,NARC,PS2,2005.0,Shooter,Midway Games,0.18,0.14,0.0,0.05,0.36,NARC,51.0,27.0,,,,1,3,0
5182,Valkyrie Profile: Lenneth,PSP,2006.0,Role-Playing,Square Enix,0.17,0.01,0.16,0.02,0.36,Valkyrie Profile,81.0,8.0,8.9,69.0,Valkyrie Profile,1,4,1
5183,Tiger Woods PGA Tour 09,PSP,2008.0,Sports,Electronic Arts,0.07,0.19,0.0,0.1,0.36,Tiger Woods PGA Tour 09,0.0,4.0,,,PGA Tour,1,0,1
5184,Metro: Last Light,X360,2013.0,Action,Deep Silver,0.17,0.16,0.0,0.03,0.36,Metro: Last Light,82.0,71.0,8.5,3187.0,Metro,1,4,1
5185,Tiger Woods PGA Tour 14,X360,2013.0,Sports,Electronic Arts,0.21,0.13,0.0,0.03,0.36,Tiger Woods PGA Tour 14,77.0,28.0,6.4,27.0,PGA Tour,1,4,1
5186,LocoRoco 2,PSP,2008.0,Platform,Sony Computer Entertainment,0.21,0.09,0.01,0.05,0.36,LocoRoco 2,85.0,55.0,8.5,59.0,LocoRoco,1,4,1
5187,Monster Rancher 3,PS2,2001.0,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03,0.36,Monster Rancher 3,77.0,13.0,8.5,23.0,Monster Rancher,1,4,1
5188,The Incredibles: Rise of the Underminer,PS2,2005.0,Action,THQ,0.18,0.14,0.0,0.05,0.36,The Incredibles: Rise of the Underminer,67.0,7.0,6.8,10.0,The Incredibles,1,3,1
5189,Spider-Man: Shattered Dimensions,X360,2010.0,Action,Activision,0.24,0.09,0.0,0.03,0.36,Spider-Man: Shattered Dimensions,76.0,68.0,7.7,120.0,,1,4,0
5190,BlazBlue: Calamity Trigger,X360,2009.0,Fighting,PQube,0.21,0.08,0.04,0.03,0.36,BlazBlue: Calamity Trigger,87.0,50.0,8.5,119.0,BlazBlue,1,4,1
5191,MechWarrior 2: 31st Century Combat,PS,1997.0,Simulation,Activision,0.2,0.14,0.0,0.02,0.36,MechWarrior 2: 31st Century Combat,0.0,4.0,,,MechWarrior,1,0,1
5192,Earth Defense Force 2025,PS3,2013.0,Shooter,D3Publisher,0.04,0.03,0.27,0.02,0.36,Earth Defense Force 2025,68.0,25.0,8.1,68.0,Earth Defense Force,1,3,1
5194,Okage: Shadow King,PS2,2001.0,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04,0.36,Okage: Shadow King,70.0,23.0,8.1,24.0,,1,3,0
5195,Press Your Luck 2010 Edition,Wii,2009.0,Misc,Ubisoft,0.33,0.0,0.0,0.03,0.36,Press Your Luck 2010 Edition,0.0,4.0,,,,1,0,0
5198,Tropico 4,X360,,Strategy,Kalypso Media,0.2,0.13,0.0,0.03,0.36,Tropico 4,78.0,46.0,7.7,409.0,Tropico,1,4,1
5199,Speed Racer: The Videogame,DS,2008.0,Racing,Warner Bros. Interactive Entertainment,0.29,0.05,0.0,0.03,0.36,Speed Racer,69.0,30.0,8.1,20.0,,1,3,0
5200,NHL 2K10,Wii,2009.0,Sports,Take-Two Interactive,0.33,0.01,0.0,0.03,0.36,NHL 2K10,66.0,23.0,7.7,10.0,NHL 2K,1,3,1
5201,Assassin's Creed III,WiiU,2012.0,Action,Ubisoft,0.19,0.13,0.0,0.03,0.36,Assassin's Creed III,85.0,41.0,6.9,1572.0,,1,4,0
5202,Kirby's Dream Land 3,SNES,1997.0,Platform,Nintendo,0.0,0.0,0.36,0.0,0.36,Kirby's Dream Land 3,0.0,4.0,8.1,19.0,Kirby,1,0,1
5204,NFL GameDay 2001,PS2,2000.0,Sports,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.36,NFL GameDay 2001,51.0,16.0,,,NFL GameDay,1,3,1
5205,NBA 2K6,XB,2005.0,Action,Take-Two Interactive,0.27,0.08,0.0,0.01,0.36,NBA 2K6,81.0,33.0,8.3,37.0,NBA 2K,1,4,1
5206,Jurassic Park,NES,1993.0,Action,Ocean,0.25,0.1,0.0,0.01,0.36,Jurassic Park: The Game,54.0,34.0,4.7,198.0,,1,3,0
5207,Mystical Ninja starring Goemon,N64,1997.0,Action,Konami Digital Entertainment,0.07,0.02,0.23,0.04,0.36,Mystical Ninja starring Goemon,67.0,10.0,8.4,48.0,Ganbare Goemon,1,3,1
5210,Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,PSV,2013.0,Fighting,Marvelous Entertainment,0.13,0.02,0.16,0.05,0.36,Senran Kagura Shinovi Versus,70.0,11.0,7.2,46.0,,1,3,0
5211,North American Hunting Extravaganza,Wii,2008.0,Sports,Zushi Games,0.33,0.0,0.0,0.03,0.36,North American Hunting Extravaganza,1.0,3.0,,,,1,1,0
5212,World's Scariest Police Chases,PS,2001.0,Racing,Activision,0.2,0.14,0.0,0.02,0.36,World's Scariest Police Chases,54.0,16.0,7.4,14.0,,1,3,0
5213,Guitar Hero: Smash Hits,PS3,2009.0,Misc,Activision,0.2,0.11,0.0,0.05,0.36,Guitar Hero: Smash Hits,71.0,56.0,6.2,23.0,Guitar Hero,1,3,1
5214,Shaun Palmer's Pro Snowboarder,GBA,2001.0,Sports,Activision,0.26,0.1,0.0,0.01,0.36,Shaun Palmer's Pro Snowboarder,64.0,17.0,8.6,13.0,,1,3,0
