Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,gamename,metaNote,metaNbVote,userNote,userNbVote,serie,samename,metaNoteQ,serieB
277,Teenage Mutant Ninja Turtles,NES,1989.0,Action,Palcom,3.38,0.44,0.31,0.04,4.17,Teenage Mutant Ninja Turtles: Mutants in Manhattan,44.0,49.0,5.5,179.0,,1,2,0
278,Excitebike,NES,1984.0,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,Classic NES Series: Excitebike,66.0,12.0,,,Excite,1,3,1
279,Frogger,PS,1997.0,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16,Frogger,0.0,4.0,8.5,11.0,Frogger,1,0,1
280,Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,Madden NFL 2003,95.0,25.0,7.5,67.0,Madden NFL,1,4,1
281,Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14,Watch Dogs: Legion,70.0,35.0,5.4,818.0,,1,3,0
282,Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,Half-Life,96.0,24.0,9.1,5065.0,,1,4,0
285,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.14,1.2,0.37,0.4,4.1,The Legend of Zelda: Skyward Sword HD,81.0,101.0,7.0,330.0,,1,4,0
286,Street Fighter II Turbo,SNES,1992.0,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1,Super Street Fighter II Turbo HD Remix,87.0,30.0,7.6,62.0,Street Fighter,1,4,1
287,Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1,Carnival Games for Nintendo Switch,49.0,7.0,,,,1,2,0
288,Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09,Fallout 4,84.0,38.0,5.6,9050.0,,1,4,0
289,World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,World of Warcraft: The Burning Crusade,91.0,46.0,6.8,1296.0,Warcraft,1,4,1
290,Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08,Fallout: New Vegas,84.0,39.0,8.8,4863.0,,1,4,0
291,God of War II,PS2,2007.0,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,God of War II,93.0,70.0,9.0,1364.0,God of War,1,4,1
292,Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06,Forza Motorsport 2,90.0,66.0,8.3,407.0,Forza,1,4,1
293,World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,World Soccer Winning Eleven 9,3.0,1.0,8.3,26.0,eFootball,1,1,1
294,Namco Museum Vol.3,PS,1996.0,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05,Namco Museum,72.0,40.0,7.6,39.0,Namco Museum,1,3,1
295,Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,Tekken Tag Tournament 2,82.0,50.0,8.3,261.0,Tekken,1,4,1
296,Far Cry 4,PS4,2014.0,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03,Far Cry 4,85.0,83.0,7.7,2319.0,Far Cry,1,4,1
297,Star Fox 64,N64,1997.0,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,Star Fox 64 3D,81.0,65.0,8.1,269.0,,1,4,0
298,Minecraft,PS4,2014.0,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02,Minecraft,93.0,33.0,8.0,6582.0,,1,4,0
299,Golf,NES,1984.0,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,Golf Story,78.0,39.0,8.2,324.0,,1,4,0
300,Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01,Fallout 3,91.0,48.0,7.8,4679.0,,1,4,0
301,Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0,Professor Layton and the Diabolical Box,84.0,65.0,8.5,115.0,Professor Layton,1,4,1
302,Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99,Left 4 Dead 2,89.0,55.0,8.4,3228.0,,1,4,0
304,EA Sports Active,Wii,2009.0,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92,EA Sports Active,81.0,27.0,8.2,41.0,,1,4,0
307,Tony Hawk's Underground,PS2,2003.0,Sports,Activision,2.29,1.17,0.01,0.42,3.9,Tony Hawk's Underground,90.0,38.0,8.7,159.0,Tony Hawk's,1,4,1
308,Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89,Assassin's Creed IV: Black Flag,83.0,29.0,7.9,2384.0,,1,4,0
